unlearner,dataset,parameters,RunTime,PeakRSS_MB,CudaPeak_MB,AIN,AUS,UMIA,sklearn.metrics.accuracy_score.test.unlearned.on_graph:True,sklearn.metrics.accuracy_score.forget.unlearned.on_graph:True,sklearn.metrics.accuracy_score.train.unlearned.on_graph:True,sklearn.metrics.accuracy_score.test.unlearned.on_graph:False,sklearn.metrics.accuracy_score.test.original.on_graph:False,f1_macro.test.unlearned.on_graph:True,f1_macro.test.original.on_graph:True,f1_macro.forget.unlearned.on_graph:True,f1_macro.forget.original.on_graph:True,LinkTeller unlearn with sampler bfs+:,LinkTeller original with sampler bfs+:,Link Stealing Attack unlearned 0 exist/non_exist,Link Stealing Attack 0 unlearned forget/non_exist,RelearnTime
Finetuning,Cora,"{'last_trainable_layers': 2, 'epochs': 1, 'ref_data': 'retain', 'optimizer': {'class': 'torch.optim.Adam', 'parameters': {'lr': 1}}, 'mask_path': None, 'forget_part': 'forget', 'retain_part': 'retain', 'train_part': 'train'}",0.14196038246154702,2479.70703125,818.00634765625,1.0,0.9656020772673141,0.514746543778801,0.33763837638376304,0.295323510570147,0.33333333333333304,0.335793357933579,0.335793357933579,0.12089172910870001,0.12089172910870001,0.130192485006903,0.130192485006903,"{'auc': 0.5240215866309761, 'ap': 0.6807761644532221}","{'auc': 0.52465032785659, 'ap': 0.680631186182383}",0.5330950664313591,0.5291537473264141,
eu_k,Cora,"{'last_trainable_layers': 2, 'epochs': 10, 'ref_data': 'retain', 'optimizer': {'class': 'torch.optim.Adam', 'parameters': {'lr': 0.001}}, 'mask_path': None, 'forget_part': 'forget', 'retain_part': 'retain', 'train_part': 'train'}",0.196873664855957,2482.31640625,818.55908203125,0.00052603892688,0.9859377586108211,0.49308755760368606,0.7509225092250921,0.7162075592568861,0.7456410256410251,0.7638376383763831,0.7638376383763831,0.6881929158241481,0.6881929158241481,0.688291513792852,0.688291513792852,"{'auc': 0.693677682859662, 'ap': 0.8492769126188341}","{'auc': 0.6941998961919671, 'ap': 0.849376096719851}",0.9646850249655641,0.9647687796965391,
eu_k,Cora,"{'last_trainable_layers': 2, 'epochs': 10, 'ref_data': 'retain', 'optimizer': {'class': 'torch.optim.Adam', 'parameters': {'lr': 0.1}}, 'mask_path': None, 'forget_part': 'forget', 'retain_part': 'retain', 'train_part': 'train'}",0.20087385177612302,2485.43359375,819.11181640625,1.0,0.9699648014316821,0.49078341013824806,0.7324723247232471,0.676489429852658,0.6923076923076921,0.749077490774907,0.749077490774907,0.6922436436029631,0.6922436436029631,0.662351651350858,0.662351651350858,"{'auc': 0.7031103878295281, 'ap': 0.813450055664485}","{'auc': 0.701015414812816, 'ap': 0.812671906550367}",0.8473742216196051,0.8413516231715541,
eu_k,Cora,"{'last_trainable_layers': 2, 'epochs': 10, 'ref_data': 'retain', 'optimizer': {'class': 'torch.optim.Adam', 'parameters': {'lr': 1}}, 'mask_path': None, 'forget_part': 'forget', 'retain_part': 'retain', 'train_part': 'train'}",0.543365001678466,2492.53515625,819.66455078125,1.0,0.9860948667966211,0.508986175115207,0.44464944649446403,0.44650864830237,0.44410256410256405,0.450184501845018,0.450184501845018,0.450649325530715,0.450649325530715,0.46240864616116106,0.46240864616116106,"{'auc': 0.542147421005034, 'ap': 0.6947599890486711}","{'auc': 0.542797241154218, 'ap': 0.694858238217625}",0.734447636880165,0.7147272852877421,
NegGrad,Cora,"{'epochs': 1, 'ref_data': 'forget', 'optimizer': {'class': 'torch.optim.Adam', 'parameters': {'lr': 0.001}}, 'last_trainable_layers': -1, 'mask_path': None, 'forget_part': 'forget', 'retain_part': 'retain', 'train_part': 'train'}",0.119011163711547,2493.6171875,820.2119140625,1.0,0.9993493329486811,0.49285714285714205,0.47047970479704804,0.443946188340807,0.47743589743589704,0.45940959409594,0.45940959409594,0.32028355390434604,0.32028355390434604,0.32053142898143,0.32053142898143,"{'auc': 0.696232312403246, 'ap': 0.8506990891613161}","{'auc': 0.694574330404193, 'ap': 0.8503800788880621}",0.9711694358356291,0.9717497093148441,
NegGrad,Cora,"{'epochs': 1, 'ref_data': 'forget', 'optimizer': {'class': 'torch.optim.Adam', 'parameters': {'lr': 0.1}}, 'last_trainable_layers': -1, 'mask_path': None, 'forget_part': 'forget', 'retain_part': 'retain', 'train_part': 'train'}",0.12146949768066401,2510.66015625,819.1064453125,1.0,0.999134720288928,0.49723502304147404,0.012915129151291001,0.014093529788597,0.014358974358974002,0.011070110701107002,0.011070110701107002,0.006451612903225001,0.006451612903225001,0.007236723855359,0.007236723855359,"{'auc': 0.65535483987951, 'ap': 0.8088319748568711}","{'auc': 0.654982445563113, 'ap': 0.808853993105846}",0.919792742768595,0.926865319466574,
NegGrad,Cora,"{'epochs': 1, 'ref_data': 'forget', 'optimizer': {'class': 'torch.optim.Adam', 'parameters': {'lr': 1}}, 'last_trainable_layers': -1, 'mask_path': None, 'forget_part': 'forget', 'retain_part': 'retain', 'train_part': 'train'}",0.11592030525207501,2540.23046875,819.6591796875,1.0,0.971678582862021,0.49078341013824806,0.167896678966789,0.15951313260730302,0.142051282051282,0.16605166051660503,0.16605166051660503,0.09792727940546801,0.09792727940546801,0.104835261336796,0.104835261336796,"{'auc': 0.564456855069934, 'ap': 0.7093299303843531}","{'auc': 0.5685976169483611, 'ap': 0.709560534255813}",0.564263910410927,0.556984159453368,
AdvancedNegGrad,Cora,"{'epochs': 1, 'ref_data_retain': 'retain', 'ref_data_forget': 'forget', 'optimizer': {'class': 'torch.optim.Adam', 'parameters': {'lr': 0.001}}, 'last_trainable_layers': -1, 'mask_path': None, 'forget_part': 'forget', 'retain_part': 'retain', 'train_part': 'train', 'training_set': 'train'}",21.69502329826355,2540.23046875,820.2119140625,1.0,0.9783964166971101,0.49078341013824806,0.396678966789667,0.35618193465727105,0.387692307692307,0.380073800738007,0.380073800738007,0.213969138988434,0.213969138988434,0.211038026398728,0.211038026398728,"{'auc': 0.6952656284352411, 'ap': 0.8505258902938011}","{'auc': 0.6948343037948861, 'ap': 0.8504310151546891}",0.9737628414830121,0.9735090722478211,
AdvancedNegGrad,Cora,"{'epochs': 1, 'ref_data_retain': 'retain', 'ref_data_forget': 'forget', 'optimizer': {'class': 'torch.optim.Adam', 'parameters': {'lr': 0.1}}, 'last_trainable_layers': -1, 'mask_path': None, 'forget_part': 'forget', 'retain_part': 'retain', 'train_part': 'train', 'training_set': 'train'}",21.75104546546936,2560.10546875,822.42822265625,1.0,0.958540425679099,0.49953917050691204,0.313653136531365,0.255605381165919,0.303076923076923,0.31918819188191805,0.31918819188191805,0.07962401691405001,0.07962401691405001,0.05822267620020401,0.05822267620020401,"{'auc': 0.612409139639935, 'ap': 0.776207217719687}","{'auc': 0.614032216754797, 'ap': 0.776444095038738}",0.682641399793388,0.677172602385771,
AdvancedNegGrad,Cora,"{'epochs': 1, 'ref_data_retain': 'retain', 'ref_data_forget': 'forget', 'optimizer': {'class': 'torch.optim.Adam', 'parameters': {'lr': 1}}, 'last_trainable_layers': -1, 'mask_path': None, 'forget_part': 'forget', 'retain_part': 'retain', 'train_part': 'train', 'training_set': 'train'}",21.76302409172058,2566.109375,822.98095703125,1.0,0.966559707875119,0.511059907834101,0.31180811808118003,0.258808456117873,0.30051282051282,0.31180811808118003,0.31180811808118003,0.071102776409262,0.071102776409262,0.058742275536168,0.058742275536168,"{'auc': 0.5351666708220101, 'ap': 0.707982692406502}","{'auc': 0.5374914721021571, 'ap': 0.7081205415624551}",0.5037910174185031,0.504500236854571,
